"Action","Action"
"Add Customer Attribute","Add Customer Attribute"
"Additional Properties","Additional Properties"
"Add New Attribute","Add New Attribute"
"adminhtml_checkout","adminhtml_checkout"
"adminhtml_customer","adminhtml_customer"
"Attribute Code","Attribute Code"
"Attribute Information","Attribute Information"
"Attributes","Attributes"
"Attribute Type","Attribute Type"
"Attribute with the same code already exists","Attribute with the same code already exists"
"checkout_register","checkout_register"
"customer_account_create","customer_account_create"
"customer_account_edit","customer_account_edit"
"Delete Attribute","Delete Attribute"
"Edit","Edit"
"Edit Customer Attribute ""%s""","Edit Customer Attribute ""%s"""
"For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols","For internal use. Must be unique with no spaces. Maximum length of attribute code must be less then %s symbols"
"Frontend Label","Frontend Label"
"Frontend Properties","Frontend Properties"
"General Properties","General Properties"
"ID","ID"
"Manage Attributes","Manage Attributes"
"Manage Customer Attributes","Manage Customer Attributes"
"Manage Label / Options","Manage Label / Options"
"Not shared with other products","Not shared with other products"
"Properties","Properties"
"Required","Required"
"Save Attribute","Save Attribute"
"Sort Order","Sort Order"
"Store View","Store View"
"System","System"
"The attribute has been deleted","The attribute has been deleted"
"This attribute cannot be deleted","This attribute cannot be deleted"
"This attribute cannot be edited","This attribute cannot be edited"
"Type","Type"
"Unable to find an attribute to delete","Unable to find an attribute to delete"
"Unique","Unique"
"Unique Value","Unique Value"
"Used in Forms","Used in Forms"
"User Defined","User Defined"
"Visible","Visible"
